National Occupational Classification (NOC)6,January,Feburary,March,April,May,Province
"Total, all occupations 7","2,281.60","2,303.90","2,187.00","1,953.10","2,016.10",AB
Management occupations,206.9,199.4,203.1,194.2,200.4,AB
Senior management occupations,6.9,9.5,8.1,4,1.8,AB
Specialized middle management occupations,55.3,50.4,59.5,62.6,64.4,AB
Middle management occupations in retail and wholesale trade and customer services,54.6,61.1,56,51.7,56,AB
"Middle management occupations in trades, transportation, production and utilities",90,78.5,79.5,75.9,78.2,AB
"Business, finance and administration occupations",361.7,351.2,369.2,341,339.4,AB
Professional occupations in business and finance,99.9,91.7,90.8,95.9,101.9,AB
Administrative and financial supervisors and administrative occupations,112.3,109.6,118.7,107.6,96,AB
"Finance, insurance and related business administrative occupations",36.9,37.6,39.5,36.9,36.4,AB
Office support occupations,74.2,76.7,83.8,67.3,72.3,AB
"Distribution, tracking and scheduling co-ordination occupations",38.4,35.5,36.3,33.3,32.9,AB
Natural and applied sciences and related occupations,202.1,203.8,205.8,196.4,204.6,AB
Professional occupations in natural and applied sciences,115.4,119.4,116.9,112.6,108.8,AB
Technical occupations related to natural and applied sciences,86.7,84.4,88.8,83.8,95.7,AB
Health occupations,191.6,195.1,173.5,164.6,165.1,AB
Professional occupations in nursing,48.5,54.7,50.1,55.5,48.9,AB
Professional occupations in health (except nursing),48.7,53.1,45.8,45,48,AB
Technical occupations in health,39.9,38.4,39.4,36.1,32.7,AB
Assisting occupations in support of health services,54.6,48.9,38.2,28,35.6,AB
"Occupations in education, law and social, community and government services",233.5,254,232.7,231.1,216.9,AB
Professional occupations in education services,90.9,89.1,87.4,78.4,78.6,AB
"Professional occupations in law and social, community and government services",56.1,58.9,55.6,60.9,64,AB
"Paraprofessional occupations in legal, social, community and education services",46.7,52.2,38.8,41.6,33.2,AB
Occupations in front-line public protection services,10.5,19,17.5,16.9,16.1,AB
"Care providers and educational, legal and public protection support occupations",29.2,34.8,33.4,33.2,25,AB
"Occupations in art, culture, recreation and sport",58,55.2,40.6,43.3,44.2,AB
Professional occupations in art and culture,17.8,20.4,20.6,23.3,21.3,AB
"Technical occupations in art, culture, recreation and sport",40.1,34.8,19.9,20,23,AB
Sales and service occupations,519.1,516.4,445.6,343.7,378.8,AB
Retail sales supervisors and specialized sales occupations,76.1,86.5,78.2,70.3,67.7,AB
Service supervisors and specialized service occupations,77.6,76.4,69,53.2,62.3,AB
Sales representatives and salespersons - wholesale and retail trade,98.8,95,89.4,53.2,64,AB
Service representatives and other customer and personal services occupations,97.5,84.7,71.5,44,48.5,AB
Sales support occupations,69.9,74.6,57.5,51.5,52,AB
"Service support and other service occupations, n.e.c.",99.2,99.2,79.9,71.4,84.2,AB
"Trades, transport and equipment operators and related occupations",366.5,389.3,383.7,324,343.2,AB
"Industrial, electrical and construction trades",115,129.4,142.1,117.1,121,AB
Maintenance and equipment operation trades,101.4,101.2,90.6,78.3,96.9,AB
"Other installers, repairers and servicers and material handlers",30.9,31.2,31.6,29.5,30.1,AB
Transport and heavy equipment operation and related maintenance occupations,99.2,111.9,100.3,82.9,80.5,AB
"Trades helpers, construction labourers and related occupations",20,15.6,19,16.2,14.7,AB
"Natural resources, agriculture and related production occupations",70.2,70.2,76.1,60,69.1,AB
"Supervisors and technical occupations in natural resources, agriculture and related production",43.9,43.1,46.3,35.3,29.9,AB
"Workers in natural resources, agriculture and related production",18.7,18.6,22.4,18.5,22.6,AB
"Harvesting, landscaping and natural resources labourers",7.6,8.5,7.4,6.2,16.7,AB
Occupations in manufacturing and utilities,71.9,69.3,56.8,54.9,54.3,AB
"Processing, manufacturing and utilities supervisors and central control operators",26.2,27.1,21.1,18.8,16.2,AB
Processing and manufacturing machine operators and related production workers,27.7,25.5,20.8,15.4,16,AB
Assemblers in manufacturing,9.2,7.7,8.8,13.5,14.1,AB
"Labourers in processing, manufacturing and utilities",8.9,9,6.1,7.2,8.1,AB
