National Occupational Classification (NOC)6,January,Feburary,March,April,May,Province
"Total, all occupations 7","2,505.80","2,510.90","2,376.30","2,128.30","2,197.20",BC
Management occupations,242,243.4,248.7,232.7,234.7,BC
Senior management occupations,6.1,4.8,7.1,7.3,10.1,BC
Specialized middle management occupations,75.4,82.6,80.1,76,80.4,BC
Middle management occupations in retail and wholesale trade and customer services,92.2,89.9,92.1,86.4,79.7,BC
"Middle management occupations in trades, transportation, production and utilities",68.3,66.1,69.3,63,64.5,BC
"Business, finance and administration occupations",385.1,403.1,377.9,352,368.5,BC
Professional occupations in business and finance,116.9,116.1,127.1,110.6,126.6,BC
Administrative and financial supervisors and administrative occupations,120.4,127,110,96.3,98,BC
"Finance, insurance and related business administrative occupations",40.4,44.2,39.7,34,39.4,BC
Office support occupations,77.9,85.8,77,82.1,78.4,BC
"Distribution, tracking and scheduling co-ordination occupations",29.4,30,24.1,29.1,26,BC
Natural and applied sciences and related occupations,193.1,198.3,190.1,169.6,177,BC
Professional occupations in natural and applied sciences,112.9,118.4,113.7,112.9,116,BC
Technical occupations related to natural and applied sciences,80.2,79.9,76.5,56.7,60.9,BC
Health occupations,183.2,183.3,184.6,179.5,192.7,BC
Professional occupations in nursing,39.2,45,45.5,48.3,58.1,BC
Professional occupations in health (except nursing),46.4,45.6,52.5,46.4,49.8,BC
Technical occupations in health,50.5,47.4,44.5,43.1,41.3,BC
Assisting occupations in support of health services,47.2,45.3,42.1,41.8,43.4,BC
"Occupations in education, law and social, community and government services",274.5,262.4,267.8,243.5,250.8,BC
Professional occupations in education services,95.1,97,97.4,90.3,93.2,BC
"Professional occupations in law and social, community and government services",63.2,58.7,56,53,53.2,BC
"Paraprofessional occupations in legal, social, community and education services",63.6,58.7,63.7,46.3,50.4,BC
Occupations in front-line public protection services,11.7,11.2,13.9,15.4,12.9,BC
"Care providers and educational, legal and public protection support occupations",40.9,36.8,36.9,38.5,41,BC
"Occupations in art, culture, recreation and sport",92.4,88,72.5,74.8,67.7,BC
Professional occupations in art and culture,31.6,33.5,24.4,26.3,20.3,BC
"Technical occupations in art, culture, recreation and sport",60.8,54.5,48.2,48.5,47.4,BC
Sales and service occupations,650.5,657.8,555.9,430,442.3,BC
Retail sales supervisors and specialized sales occupations,93.9,94.2,81.9,66.6,71.6,BC
Service supervisors and specialized service occupations,90.4,86.4,76,60.1,71,BC
Sales representatives and salespersons - wholesale and retail trade,123.5,119,105,89.9,79.3,BC
Service representatives and other customer and personal services occupations,133.4,135.4,108.1,72.2,67.5,BC
Sales support occupations,78.9,84.1,64.9,61.7,72.5,BC
"Service support and other service occupations, n.e.c.",130.5,138.8,119.8,79.5,80.5,BC
"Trades, transport and equipment operators and related occupations",367.1,367.9,360.7,334,323.5,BC
"Industrial, electrical and construction trades",146.9,149.9,143.4,122,110.1,BC
Maintenance and equipment operation trades,87.5,82,80.5,67.3,82.5,BC
"Other installers, repairers and servicers and material handlers",34.5,40.7,34,39.2,31.4,BC
Transport and heavy equipment operation and related maintenance occupations,79.2,82,87.4,87.2,77.2,BC
"Trades helpers, construction labourers and related occupations",19,13.3,15.4,18.4,22.1,BC
"Natural resources, agriculture and related production occupations",46.1,42.3,52.6,46.5,61.5,BC
"Supervisors and technical occupations in natural resources, agriculture and related production",21.9,21.8,21.8,20.5,19.9,BC
"Workers in natural resources, agriculture and related production",8.1,9.2,14.4,10.9,17.3,BC
"Harvesting, landscaping and natural resources labourers",16.1,11.3,16.4,15.1,24.4,BC
Occupations in manufacturing and utilities,71.7,64.5,65.5,65.6,78.6,BC
"Processing, manufacturing and utilities supervisors and central control operators",25.5,23,19.2,22.2,23.9,BC
Processing and manufacturing machine operators and related production workers,18.8,20.5,18,17.9,24.6,BC
Assemblers in manufacturing,15.7,9.3,17.4,14.5,10.5,BC
"Labourers in processing, manufacturing and utilities",11.6,11.8,10.9,11,19.7,BC
