National Occupational Classification (NOC)6,January,Feburary,March,April,May,Province
"Total, all occupations 7",652.1,655.1,631.8,570.2,594.8,MB
Management occupations,54.4,57.9,61.2,57,55.8,MB
Senior management occupations,1.2,1.3,1.1,0.9,1.7,MB
Specialized middle management occupations,12.5,14,17.7,15,13.6,MB
Middle management occupations in retail and wholesale trade and customer services,13.2,14.8,14.5,13.9,14.2,MB
"Middle management occupations in trades, transportation, production and utilities",27.5,27.8,27.9,27.3,26.4,MB
"Business, finance and administration occupations",100.1,101.8,104.5,95.6,99.1,MB
Professional occupations in business and finance,20.3,21.2,20,20.5,21.7,MB
Administrative and financial supervisors and administrative occupations,30.5,30.1,32.5,32.4,33.9,MB
"Finance, insurance and related business administrative occupations",10.8,11.6,12.7,10,9.6,MB
Office support occupations,26.9,27.1,28.3,22.6,23.8,MB
"Distribution, tracking and scheduling co-ordination occupations",11.7,11.9,11.1,10.1,10.1,MB
Natural and applied sciences and related occupations,33.8,32.6,31.6,36.6,40,MB
Professional occupations in natural and applied sciences,19.2,17.9,16.2,19.8,21.1,MB
Technical occupations related to natural and applied sciences,14.7,14.7,15.4,16.8,18.9,MB
Health occupations,61,62.1,60,57,53.8,MB
Professional occupations in nursing,14.2,13.5,14.2,14,13.7,MB
Professional occupations in health (except nursing),11.5,12.9,10.2,11.7,11.3,MB
Technical occupations in health,14.2,16.1,16.5,14.8,13.4,MB
Assisting occupations in support of health services,21.1,19.7,19.1,16.5,15.4,MB
"Occupations in education, law and social, community and government services",86.9,86,84.1,76.1,75.1,MB
Professional occupations in education services,30.8,30,29.9,30.5,29.7,MB
"Professional occupations in law and social, community and government services",17.2,17,17.4,14,15.5,MB
"Paraprofessional occupations in legal, social, community and education services",19.6,17,15.6,12.3,14.2,MB
Occupations in front-line public protection services,2.7,2.9,2.4,2.8,3.1,MB
"Care providers and educational, legal and public protection support occupations",16.5,19.2,18.9,16.4,12.6,MB
"Occupations in art, culture, recreation and sport",12.3,13.9,12.9,11.1,11.9,MB
Professional occupations in art and culture,3.4,4,3.7,3.5,3.7,MB
"Technical occupations in art, culture, recreation and sport",8.9,9.9,9.2,7.6,8.3,MB
Sales and service occupations,157.4,156,135.2,115.7,124.6,MB
Retail sales supervisors and specialized sales occupations,18.4,19,17.8,15.2,15.8,MB
Service supervisors and specialized service occupations,24.2,23.3,19.8,18.7,22.5,MB
Sales representatives and salespersons - wholesale and retail trade,25.1,25.2,22.7,15.9,18.1,MB
Service representatives and other customer and personal services occupations,29.2,30.3,27.1,20.7,21.1,MB
Sales support occupations,21.6,21.8,17.7,18.6,21.6,MB
"Service support and other service occupations, n.e.c.",38.9,36.5,29.9,26.5,25.6,MB
"Trades, transport and equipment operators and related occupations",98,98.8,94.7,79.4,88.9,MB
"Industrial, electrical and construction trades",30.8,29.4,31.1,26.9,29.2,MB
Maintenance and equipment operation trades,24.8,25.5,23,19.5,21,MB
"Other installers, repairers and servicers and material handlers",9.2,7.6,7.1,6,7.2,MB
Transport and heavy equipment operation and related maintenance occupations,30.3,32,30.3,23.5,25.2,MB
"Trades helpers, construction labourers and related occupations",2.8,4.4,3.1,3.5,6.3,MB
"Natural resources, agriculture and related production occupations",14,13.4,13.6,13.6,16.3,MB
"Supervisors and technical occupations in natural resources, agriculture and related production",3.7,3.8,4.5,3.3,3.3,MB
"Workers in natural resources, agriculture and related production",7.7,7.4,7.6,8.7,9.2,MB
"Harvesting, landscaping and natural resources labourers",2.6,2.1,1.5,1.6,3.7,MB
Occupations in manufacturing and utilities,34.1,32.6,33.9,28.1,29.2,MB
"Processing, manufacturing and utilities supervisors and central control operators",7.8,7.7,6.2,6.2,6.6,MB
Processing and manufacturing machine operators and related production workers,13.2,12.1,12.2,11.4,11.2,MB
Assemblers in manufacturing,8.1,7.2,9.2,6.7,6.8,MB
"Labourers in processing, manufacturing and utilities",4.9,5.6,6.3,3.8,4.5,MB
