National Occupational Classification (NOC)6,January,Feburary,March,April,May,Province
"Total, all occupations 7",345.8,349.6,331,300.9,332.4,NB
Management occupations,21.5,21.7,22.4,24.8,24.2,NB
Senior management occupations,0.6,0.5,,,0.9,NB
Specialized middle management occupations,6.4,7.1,8.1,10.2,9.4,NB
Middle management occupations in retail and wholesale trade and customer services,7.4,6.3,6.1,7,6.9,NB
"Middle management occupations in trades, transportation, production and utilities",7,7.9,7.8,7.2,7.1,NB
"Business, finance and administration occupations",56.7,56.4,57.4,49.6,54.3,NB
Professional occupations in business and finance,10.6,10.9,12,10.3,11.2,NB
Administrative and financial supervisors and administrative occupations,19.3,20.5,17.5,16.6,19.3,NB
"Finance, insurance and related business administrative occupations",4.7,4.3,4.6,4.8,4.3,NB
Office support occupations,15.8,14.4,16,11.1,12.2,NB
"Distribution, tracking and scheduling co-ordination occupations",6.3,6.2,7.2,6.8,7.3,NB
Natural and applied sciences and related occupations,20,20.2,20.7,20.7,21.1,NB
Professional occupations in natural and applied sciences,9,9.1,10.2,10.9,10.8,NB
Technical occupations related to natural and applied sciences,11,11.1,10.5,9.7,10.3,NB
Health occupations,29.2,31.5,32.7,31.7,31.1,NB
Professional occupations in nursing,5.9,5.9,7,7.5,7.7,NB
Professional occupations in health (except nursing),6.7,6.7,8.3,6.5,7.3,NB
Technical occupations in health,7.5,10.2,9.3,9.6,9.3,NB
Assisting occupations in support of health services,9.1,8.7,8.1,8.1,6.8,NB
"Occupations in education, law and social, community and government services",50,48.9,44.6,43,46.2,NB
Professional occupations in education services,14.4,15.7,15,15.8,16.4,NB
"Professional occupations in law and social, community and government services",11.8,12.6,12.1,12.2,12.9,NB
"Paraprofessional occupations in legal, social, community and education services",9.9,9.2,8.1,8.2,8.4,NB
Occupations in front-line public protection services,2.7,2.1,2,1.5,1.9,NB
"Care providers and educational, legal and public protection support occupations",11.3,9.4,7.4,5.4,6.6,NB
"Occupations in art, culture, recreation and sport",3.7,4.2,4.8,3.4,4.3,NB
Professional occupations in art and culture,1.4,1.6,1.8,1.8,2.4,NB
"Technical occupations in art, culture, recreation and sport",2.3,2.7,3,1.6,1.8,NB
Sales and service occupations,92,93.3,83.2,69.8,77.8,NB
Retail sales supervisors and specialized sales occupations,12.8,11.8,11.9,10.7,11.1,NB
Service supervisors and specialized service occupations,14.1,14.8,12,10.6,11.2,NB
Sales representatives and salespersons - wholesale and retail trade,14.5,13,11,9.5,10.5,NB
Service representatives and other customer and personal services occupations,17.3,17,15.4,11.3,13.1,NB
Sales support occupations,15.8,16.6,15.3,14.2,16.2,NB
"Service support and other service occupations, n.e.c.",17.4,20.2,17.6,13.6,15.8,NB
"Trades, transport and equipment operators and related occupations",46.5,48.2,42.4,39.3,46.1,NB
"Industrial, electrical and construction trades",13.7,14.8,14.1,12.9,14.2,NB
Maintenance and equipment operation trades,12.5,12.5,9.9,9.6,12.8,NB
"Other installers, repairers and servicers and material handlers",4.5,3.5,4,4.2,4.1,NB
Transport and heavy equipment operation and related maintenance occupations,14,13.7,12,10.6,11.8,NB
"Trades helpers, construction labourers and related occupations",1.9,3.7,2.3,2,3.3,NB
"Natural resources, agriculture and related production occupations",11.2,9.4,9.2,8.2,12,NB
"Supervisors and technical occupations in natural resources, agriculture and related production",4.9,4.3,3.9,4.2,5.8,NB
"Workers in natural resources, agriculture and related production",4.4,3.8,4.2,3.1,4.3,NB
"Harvesting, landscaping and natural resources labourers",1.9,1.4,1.1,0.9,2,NB
Occupations in manufacturing and utilities,15.1,15.6,13.6,10.4,15.3,NB
"Processing, manufacturing and utilities supervisors and central control operators",5.5,5.5,5,4.8,5.6,NB
Processing and manufacturing machine operators and related production workers,4.2,4.3,3,2.2,3.7,NB
Assemblers in manufacturing,2.4,2.1,1.9,0.8,1,NB
"Labourers in processing, manufacturing and utilities",2.9,3.8,3.8,2.7,5.1,NB
