National Occupational Classification (NOC)6,January,Feburary,March,April,May,Province
"Total, all occupations 7",455.4,458.4,433.4,389.3,412.1,NS
Management occupations,35,33.7,29.7,29.9,31.5,NS
Senior management occupations,1.3,1.3,1.3,1.6,2,NS
Specialized middle management occupations,11.3,10.2,8.1,8.1,8.8,NS
Middle management occupations in retail and wholesale trade and customer services,12.4,13,12.6,10.8,10.5,NS
"Middle management occupations in trades, transportation, production and utilities",10,9.2,7.7,9.3,10.1,NS
"Business, finance and administration occupations",71.2,74.5,71.6,67.1,64.6,NS
Professional occupations in business and finance,18.7,19.3,17.2,14.9,17,NS
Administrative and financial supervisors and administrative occupations,23.4,24.7,22.6,23.4,17.8,NS
"Finance, insurance and related business administrative occupations",5.9,6.5,6.6,6.5,6.5,NS
Office support occupations,17.4,17.7,19.1,15.2,16.6,NS
"Distribution, tracking and scheduling co-ordination occupations",5.9,6.4,6,7,6.7,NS
Natural and applied sciences and related occupations,27,27.7,28.9,30,31.3,NS
Professional occupations in natural and applied sciences,16,17.7,18.2,16.7,18.7,NS
Technical occupations related to natural and applied sciences,11,10,10.7,13.3,12.6,NS
Health occupations,39.2,39,43,41.4,42.1,NS
Professional occupations in nursing,10,10.8,9.8,9,11.2,NS
Professional occupations in health (except nursing),7.4,7.1,8.4,7.5,8.2,NS
Technical occupations in health,9.9,9.3,10.4,10.5,9.3,NS
Assisting occupations in support of health services,11.8,11.9,14.4,14.4,13.4,NS
"Occupations in education, law and social, community and government services",54.2,55.9,52,51.5,49.1,NS
Professional occupations in education services,20.4,18.9,18.7,19,18.4,NS
"Professional occupations in law and social, community and government services",16,18.5,18.7,18.2,19.3,NS
"Paraprofessional occupations in legal, social, community and education services",8.8,9.7,7.2,5,5.5,NS
Occupations in front-line public protection services,1.3,1.3,2,2.2,1.1,NS
"Care providers and educational, legal and public protection support occupations",7.6,7.6,5.3,7.2,4.7,NS
"Occupations in art, culture, recreation and sport",11.7,13.1,11.9,7.8,10.2,NS
Professional occupations in art and culture,3.6,3.6,4.2,3.7,4.2,NS
"Technical occupations in art, culture, recreation and sport",8.1,9.5,7.7,4,6.1,NS
Sales and service occupations,127.7,126.2,111.1,86.4,95.8,NS
Retail sales supervisors and specialized sales occupations,16.4,17.4,18.3,15.5,15.4,NS
Service supervisors and specialized service occupations,21.7,19.7,18.3,13.7,13.6,NS
Sales representatives and salespersons - wholesale and retail trade,18.5,16.8,14.7,12.6,17.3,NS
Service representatives and other customer and personal services occupations,22.7,24.4,20.7,15,15.9,NS
Sales support occupations,22.5,22.7,18.5,14.4,16.1,NS
"Service support and other service occupations, n.e.c.",25.8,25.3,20.7,15.2,17.4,NS
"Trades, transport and equipment operators and related occupations",59.9,57.7,56.9,47.5,55.5,NS
"Industrial, electrical and construction trades",20.4,20.6,19.2,17.2,18.7,NS
Maintenance and equipment operation trades,13.7,13.4,13.2,9.3,13.1,NS
"Other installers, repairers and servicers and material handlers",6.4,6.3,7.1,6.8,7.9,NS
Transport and heavy equipment operation and related maintenance occupations,14.8,13.4,14,11.1,11.3,NS
"Trades helpers, construction labourers and related occupations",4.5,4,3.4,3.2,4.6,NS
"Natural resources, agriculture and related production occupations",12.4,13.1,11.3,11.9,16,NS
"Supervisors and technical occupations in natural resources, agriculture and related production",6.8,7.2,7,5.7,7.6,NS
"Workers in natural resources, agriculture and related production",3.8,3.9,3.5,5.7,6.7,NS
"Harvesting, landscaping and natural resources labourers",1.9,2,0.9,0.5,1.6,NS
Occupations in manufacturing and utilities,17.1,17.6,17,15.8,16.1,NS
"Processing, manufacturing and utilities supervisors and central control operators",4.3,4.5,5.2,5,3.2,NS
Processing and manufacturing machine operators and related production workers,6.8,6.7,6.2,5.8,7.6,NS
Assemblers in manufacturing,3.5,3,3.5,3,2.1,NS
"Labourers in processing, manufacturing and utilities",2.6,3.3,2.1,2,3.3,NS
