National Occupational Classification (NOC)6,January,Feburary,March,April,May,Province
"Total, all occupations 7","7,453.90","7,466.90","7,030.10","6,409.20","6,456.70",ON
Management occupations,714.7,714.6,701.3,701.1,687.4,ON
Senior management occupations,29.3,30.7,28,23.9,21.2,ON
Specialized middle management occupations,271.5,264.3,269.4,265.2,274.7,ON
Middle management occupations in retail and wholesale trade and customer services,218.7,227.6,213,203.5,192.8,ON
"Middle management occupations in trades, transportation, production and utilities",195.2,191.9,190.9,208.6,198.8,ON
"Business, finance and administration occupations","1,270.10","1,276.90","1,278.30","1,173.60","1,159.80",ON
Professional occupations in business and finance,385.6,397.3,406.6,373.5,396.8,ON
Administrative and financial supervisors and administrative occupations,395,398.6,404.1,358.2,340.7,ON
"Finance, insurance and related business administrative occupations",100.7,92.4,102.4,90.9,99.4,ON
Office support occupations,262.7,260.9,244.6,220.8,212.9,ON
"Distribution, tracking and scheduling co-ordination occupations",126.2,127.7,120.6,130.3,110,ON
Natural and applied sciences and related occupations,667.7,659.9,657.3,651.2,650.1,ON
Professional occupations in natural and applied sciences,472.7,456.3,447.4,466.7,443.2,ON
Technical occupations related to natural and applied sciences,195,203.6,209.9,184.5,206.9,ON
Health occupations,527.6,533.9,502.6,506,514.9,ON
Professional occupations in nursing,120.8,116.5,103.4,105,110.4,ON
Professional occupations in health (except nursing),125.8,131.8,127.6,152.4,158.9,ON
Technical occupations in health,159.6,164.3,154.1,135.8,141.3,ON
Assisting occupations in support of health services,121.4,121.3,117.5,112.9,104.3,ON
"Occupations in education, law and social, community and government services",889.2,878.3,811.3,780.3,748.6,ON
Professional occupations in education services,321.4,330,314,305.4,298.9,ON
"Professional occupations in law and social, community and government services",234.7,234.2,226.9,233.8,221.2,ON
"Paraprofessional occupations in legal, social, community and education services",182.8,171.4,147.7,126.8,119.3,ON
Occupations in front-line public protection services,45.3,46.9,53.4,49.4,52.1,ON
"Care providers and educational, legal and public protection support occupations",105,95.8,69.4,65,56.9,ON
"Occupations in art, culture, recreation and sport",200.5,210.5,174.9,150.6,164.5,ON
Professional occupations in art and culture,66.2,76.6,73.6,70.1,76.5,ON
"Technical occupations in art, culture, recreation and sport",134.3,133.8,101.2,80.5,88,ON
Sales and service occupations,"1,766.40","1,765.90","1,555.60","1,304.50","1,295.40",ON
Retail sales supervisors and specialized sales occupations,296.9,283.9,270.1,257.1,254.2,ON
Service supervisors and specialized service occupations,234.9,232.5,196.7,153.2,167.7,ON
Sales representatives and salespersons - wholesale and retail trade,341.8,342.1,305.3,222.7,220,ON
Service representatives and other customer and personal services occupations,302.5,319.4,278.8,218.5,199.2,ON
Sales support occupations,254.6,230.1,207.3,186.5,201.9,ON
"Service support and other service occupations, n.e.c.",335.8,358,297.4,266.6,252.3,ON
"Trades, transport and equipment operators and related occupations",980.6,967.5,925.4,778.3,825.8,ON
"Industrial, electrical and construction trades",330.1,313.1,314.8,252.8,283.9,ON
Maintenance and equipment operation trades,220.5,211.6,202.5,178.1,181.2,ON
"Other installers, repairers and servicers and material handlers",109.6,115.2,121.9,94.7,97.8,ON
Transport and heavy equipment operation and related maintenance occupations,273.9,269.6,233.8,210,211.5,ON
"Trades helpers, construction labourers and related occupations",46.5,58,52.4,42.7,51.4,ON
"Natural resources, agriculture and related production occupations",78.2,82.4,80.6,84.6,97.3,ON
"Supervisors and technical occupations in natural resources, agriculture and related production",24.9,30.2,28.7,29.3,26,ON
"Workers in natural resources, agriculture and related production",32.9,33.4,30.6,31.2,34.3,ON
"Harvesting, landscaping and natural resources labourers",20.4,18.8,21.3,24.1,37,ON
Occupations in manufacturing and utilities,359,377.2,342.8,278.8,313,ON
"Processing, manufacturing and utilities supervisors and central control operators",72.7,74.3,62.9,71.4,76.2,ON
Processing and manufacturing machine operators and related production workers,139.2,157,141.2,100.8,114.9,ON
Assemblers in manufacturing,94.9,84.9,82.3,60.7,71.1,ON
"Labourers in processing, manufacturing and utilities",52.2,61,56.4,45.9,50.8,ON
