National Occupational Classification (NOC)6,January,Feburary,March,April,May,Province
"Total, all occupations 7","4,284.20","4,312.70","4,037.00","3,513.30","3,834.40",QC
Management occupations,391.6,388,373.6,339.5,331.9,QC
Senior management occupations,7.9,6.3,7.3,5.7,4.2,QC
Specialized middle management occupations,132.2,136.4,146.2,124.7,127.2,QC
Middle management occupations in retail and wholesale trade and customer services,133,123.4,104.4,108.7,89.8,QC
"Middle management occupations in trades, transportation, production and utilities",118.5,121.9,115.6,100.4,110.7,QC
"Business, finance and administration occupations",716.4,704,692.6,622.6,660.4,QC
Professional occupations in business and finance,178.1,179.7,196.9,183.9,191.7,QC
Administrative and financial supervisors and administrative occupations,288,283.8,273.4,234.9,256.3,QC
"Finance, insurance and related business administrative occupations",59.1,58.6,53.9,55.6,53.8,QC
Office support occupations,113.7,106.9,91.7,82.7,88.2,QC
"Distribution, tracking and scheduling co-ordination occupations",77.6,75.1,76.7,65.5,70.3,QC
Natural and applied sciences and related occupations,371.7,388,397,363,408.9,QC
Professional occupations in natural and applied sciences,227.9,246.5,239.2,214.2,229.8,QC
Technical occupations related to natural and applied sciences,143.9,141.5,157.7,148.8,179.1,QC
Health occupations,342.7,321.9,320.7,300.7,313.6,QC
Professional occupations in nursing,73.4,77.2,81.3,73.6,77.6,QC
Professional occupations in health (except nursing),78.3,70.3,78.7,75.5,71.7,QC
Technical occupations in health,111.4,111.4,99.2,88.1,92.9,QC
Assisting occupations in support of health services,79.7,63,61.6,63.5,71.4,QC
"Occupations in education, law and social, community and government services",494,510.9,449,470.6,498.2,QC
Professional occupations in education services,201.8,208.4,166.7,191.5,206.1,QC
"Professional occupations in law and social, community and government services",108.9,108.7,104,104.3,111.7,QC
"Paraprofessional occupations in legal, social, community and education services",121.5,129.6,122.8,122.9,126.1,QC
Occupations in front-line public protection services,22.6,26.2,27.1,25,21.3,QC
"Care providers and educational, legal and public protection support occupations",39.3,38.1,28.5,26.9,33.1,QC
"Occupations in art, culture, recreation and sport",133,137.5,117.3,102.3,110.8,QC
Professional occupations in art and culture,45.2,48.3,43.2,49.3,44.7,QC
"Technical occupations in art, culture, recreation and sport",87.8,89.2,74.1,53,66.1,QC
Sales and service occupations,"1,010.70","1,040.20",880,720.1,752.2,QC
Retail sales supervisors and specialized sales occupations,132.7,153.2,150.6,112.9,110.1,QC
Service supervisors and specialized service occupations,150.2,143,121.2,95.1,110.6,QC
Sales representatives and salespersons - wholesale and retail trade,169.8,161.9,137.6,107.9,125.4,QC
Service representatives and other customer and personal services occupations,189.6,187.5,151.4,132.9,130.1,QC
Sales support occupations,160.9,173.3,146,134.1,145.7,QC
"Service support and other service occupations, n.e.c.",207.4,221.3,173.2,137.1,130.2,QC
"Trades, transport and equipment operators and related occupations",583.7,569.6,562.8,403,513.4,QC
"Industrial, electrical and construction trades",197.8,190.3,197.4,116.4,169.8,QC
Maintenance and equipment operation trades,145.8,136.7,134.1,99.2,125.4,QC
"Other installers, repairers and servicers and material handlers",64.8,63.7,62.2,45.8,54.8,QC
Transport and heavy equipment operation and related maintenance occupations,149.6,156.7,149.4,131.1,146.7,QC
"Trades helpers, construction labourers and related occupations",25.7,22.3,19.7,10.5,16.6,QC
"Natural resources, agriculture and related production occupations",47,46.4,45.2,38.4,56.1,QC
"Supervisors and technical occupations in natural resources, agriculture and related production",15.6,20.2,19.9,11.1,17.1,QC
"Workers in natural resources, agriculture and related production",24.2,21.5,19.1,21.9,27.2,QC
"Harvesting, landscaping and natural resources labourers",7.2,4.7,6.2,5.4,11.8,QC
Occupations in manufacturing and utilities,193.5,206.2,198.7,153.1,189,QC
"Processing, manufacturing and utilities supervisors and central control operators",32.8,34.5,40.8,39.2,43.3,QC
Processing and manufacturing machine operators and related production workers,80,89.3,86.6,64.4,74,QC
Assemblers in manufacturing,53.2,49.6,42.4,21.7,45.9,QC
"Labourers in processing, manufacturing and utilities",27.5,32.8,28.9,27.9,25.9,QC
